WaveNumber, DarkSlowSlow
4.182362e+02,6.329259e+01
4.183568e+02,6.278970e+01
4.184773e+02,6.215633e+01
4.185978e+02,6.147306e+01
4.187184e+02,6.084330e+01
4.188389e+02,6.036194e+01
4.189594e+02,6.007931e+01
4.190799e+02,5.999897e+01
4.192005e+02,6.009791e+01
4.193210e+02,6.034361e+01
4.194415e+02,6.070222e+01
4.195620e+02,6.112849e+01
4.196826e+02,6.156482e+01
4.198031e+02,6.194289e+01
4.199236e+02,6.219851e+01
4.200442e+02,6.229991e+01
4.201647e+02,6.225471e+01
4.202852e+02,6.210058e+01
4.204058e+02,6.188354e+01
4.205263e+02,6.164315e+01
4.206468e+02,6.140360e+01
4.207673e+02,6.117389e+01
4.208879e+02,6.095548e+01
4.210084e+02,6.075177e+01
4.211289e+02,6.057230e+01
4.212495e+02,6.043553e+01
4.213700e+02,6.036089e+01
4.214905e+02,6.035715e+01
4.216111e+02,6.041344e+01
4.217316e+02,6.049796e+01
4.218521e+02,6.056877e+01
4.219726e+02,6.058564e+01
4.220932e+02,6.052908e+01
4.222137e+02,6.040655e+01
4.223342e+02,6.025225e+01
4.224547e+02,6.011427e+01
4.225753e+02,6.004135e+01
4.226958e+02,6.006952e+01
4.228163e+02,6.020951e+01
4.229369e+02,6.044856e+01
4.230574e+02,6.075610e+01
4.231779e+02,6.109805e+01
4.232985e+02,6.144358e+01
4.234190e+02,6.176724e+01
4.235395e+02,6.204970e+01
4.236600e+02,6.227268e+01
4.237806e+02,6.242093e+01
4.239011e+02,6.248791e+01
4.240216e+02,6.247698e+01
4.241422e+02,6.240651e+01
4.242627e+02,6.230470e+01
4.243832e+02,6.220607e+01
4.245038e+02,6.213889e+01
4.246243e+02,6.211897e+01
4.247448e+02,6.215094e+01
4.248653e+02,6.222953e+01
4.249859e+02,6.234608e+01
4.251064e+02,6.248992e+01
4.252269e+02,6.264750e+01
4.253474e+02,6.279764e+01
4.254680e+02,6.290898e+01
4.255885e+02,6.294668e+01
4.257090e+02,6.287803e+01
4.258296e+02,6.268584e+01
4.259501e+02,6.237516e+01
4.260706e+02,6.197690e+01
4.261912e+02,6.154404e+01
4.263117e+02,6.113792e+01
4.264322e+02,6.082112e+01
4.265527e+02,6.064179e+01
4.266733e+02,6.062312e+01
4.267938e+02,6.076570e+01
4.269143e+02,6.104784e+01
4.270349e+02,6.143417e+01
4.271554e+02,6.187725e+01
4.272759e+02,6.232655e+01
4.273965e+02,6.273429e+01
4.275170e+02,6.305949e+01
4.276375e+02,6.327794e+01
4.277580e+02,6.338563e+01
4.278786e+02,6.339809e+01
4.279991e+02,6.334364e+01
4.281196e+02,6.325230e+01
4.282401e+02,6.314611e+01
4.283607e+02,6.303012e+01
4.284812e+02,6.289458e+01
4.286017e+02,6.272351e+01
4.287223e+02,6.250856e+01
4.288428e+02,6.225800e+01
4.289633e+02,6.199968e+01
4.290839e+02,6.177184e+01
4.292044e+02,6.161380e+01
4.293249e+02,6.155061e+01
4.294454e+02,6.158612e+01
4.295660e+02,6.170415e+01
4.296865e+02,6.187630e+01
4.298070e+02,6.207200e+01
4.299276e+02,6.226355e+01
4.300481e+02,6.243184e+01
4.301686e+02,6.256538e+01
4.302892e+02,6.265717e+01
4.304097e+02,6.270530e+01
4.305302e+02,6.271200e+01
4.306507e+02,6.268713e+01
4.307713e+02,6.264675e+01
4.308918e+02,6.261192e+01
4.310123e+02,6.260167e+01
4.311328e+02,6.262438e+01
4.312534e+02,6.267373e+01
