WaveNumber, DarkFastSlow
4.102813e+02,6.064101e+01
4.104018e+02,6.083522e+01
4.105224e+02,6.108802e+01
4.106429e+02,6.127481e+01
4.107634e+02,6.134251e+01
4.108839e+02,6.130734e+01
4.110045e+02,6.122833e+01
4.111250e+02,6.116175e+01
4.112455e+02,6.113268e+01
4.113661e+02,6.112372e+01
4.114866e+02,6.109504e+01
4.116071e+02,6.101035e+01
4.117277e+02,6.086190e+01
4.118482e+02,6.067879e+01
4.119687e+02,6.050960e+01
4.120892e+02,6.039271e+01
4.122098e+02,6.033569e+01
4.123303e+02,6.031223e+01
4.124508e+02,6.028025e+01
4.125714e+02,6.020929e+01
4.126919e+02,6.010019e+01
4.128124e+02,5.998771e+01
4.129330e+02,5.992805e+01
4.130535e+02,5.996812e+01
4.131740e+02,6.012207e+01
4.132945e+02,6.036928e+01
4.134151e+02,6.066296e+01
4.135356e+02,6.095675e+01
4.136561e+02,6.121571e+01
4.137766e+02,6.142886e+01
4.138972e+02,6.160104e+01
4.140177e+02,6.174199e+01
4.141382e+02,6.185307e+01
4.142588e+02,6.192879e+01
4.143793e+02,6.196935e+01
4.144998e+02,6.199426e+01
4.146204e+02,6.204888e+01
4.147409e+02,6.219775e+01
4.148614e+02,6.249369e+01
4.149819e+02,6.295094e+01
4.151025e+02,6.352235e+01
4.152230e+02,6.410728e+01
4.153435e+02,6.457053e+01
4.154641e+02,6.478680e+01
4.155846e+02,6.469313e+01
4.157051e+02,6.431347e+01
4.158257e+02,6.375617e+01
4.159462e+02,6.316035e+01
4.160667e+02,6.265361e+01
4.161872e+02,6.230048e+01
4.163078e+02,6.209053e+01
4.164283e+02,6.195709e+01
4.165488e+02,6.181375e+01
4.166693e+02,6.159506e+01
4.167899e+02,6.127942e+01
4.169104e+02,6.090193e+01
4.170309e+02,6.053671e+01
4.171515e+02,6.027591e+01
4.172720e+02,6.019538e+01
4.173925e+02,6.033446e+01
4.175131e+02,6.068131e+01
