WaveNumber,DarkFastFast,DarkSlowFast,DarkFastSlow,DarkSlowSlow,LiteFastFast,LiteSlowFast,LiteFastSlow,LiteSlowSlow
424.3832,68.11617,61.42963,59.75835,62.20607,63.3967,59.5695,66.16428,70.02479
424.5038,68.16473,61.76082,60.19685,62.13889,63.32767,59.45885,66.40561,70.35819
424.6243,68.18964,62.13111,60.65649,62.11897,63.1974,59.3868,66.47533,70.71727
424.7448,68.2342,62.47536,61.0906,62.15094,62.99786,59.34178,66.39212,71.00524
424.8653,68.34496,62.73529,61.45987,62.22953,62.72981,59.30693,66.21217,71.14491
424.9859,68.5571,62.87666,61.73375,62.34608,62.41214,59.27675,66.01405,71.10254
425.1064,68.87794,62.8977,61.88758,62.48992,62.09144,59.26417,65.88387,70.90125
425.2269,69.27927,62.82713,61.90738,62.6475,61.82842,59.29302,65.87978,70.60964
425.3474,69.69791,62.70728,61.79215,62.79764,61.68264,59.38186,66.01685,70.31568
425.468,70.0518,62.57787,61.56023,62.90898,61.69066,59.52774,66.25789,70.09627
425.5885,70.27066,62.45722,61.24767,62.94668,61.85014,59.70158,66.53237,69.98758
425.709,70.31376,62.3436,60.90657,62.87803,62.12184,59.85577,66.75609,69.9828
425.8296,70.18214,62.22485,60.59766,62.68584,62.44367,59.94262,66.86082,70.04258
425.9501,69.91409,62.09328,60.37248,62.37516,62.75541,59.93555,66.81704,70.12047
426.0706,69.57456,61.95113,60.26813,61.9769,63.00826,59.83403,66.63433,70.17632
426.1912,69.23725,61.8125,60.29491,61.54404,63.17537,59.66251,66.35778,70.19142
426.3117,68.96055,61.69348,60.43293,61.13792,63.2513,59.4549,66.04731,70.17038
426.4322,68.7802,61.60304,60.63531,60.82112,63.24635,59.24266,65.76595,70.13675
426.5527,68.69699,61.53749,60.84277,60.64179,63.18111,59.04317,65.56062,70.12468
426.6733,68.68222,61.4855,61.00581,60.62312,63.08247,58.86121,65.45256,70.1691
426.7938,68.68783,61.43676,61.09756,60.7657,62.98522,58.69971,65.44175,70.30225
426.9143,68.66568,61.39513,61.12495,61.04784,62.92807,58.57113,65.5107,70.54464
427.0349,68.58347,61.3814,61.11964,61.43417,62.94735,58.50082,65.63586,70.90028
427.1554,68.43031,61.42894,61.12518,61.87725,63.07024,58.52421,65.79212,71.35122
427.2759,68.21903,61.56622,61.17347,62.32655,63.30063,58.66732,65.96073,71.85493
