WaveNumber, DarkFastFast
4.525870e+02,6.740639e+01
4.527076e+02,6.751928e+01
4.528281e+02,6.759717e+01
4.529486e+02,6.763487e+01
4.530692e+02,6.763866e+01
4.531897e+02,6.762168e+01
4.533102e+02,6.759634e+01
4.534308e+02,6.756942e+01
4.535513e+02,6.753955e+01
4.536718e+02,6.749920e+01
4.537923e+02,6.743960e+01
4.539129e+02,6.735573e+01
4.540334e+02,6.724886e+01
4.541539e+02,6.712683e+01
4.542744e+02,6.700171e+01
4.543950e+02,6.688611e+01
4.545155e+02,6.679171e+01
4.546360e+02,6.672586e+01
4.547566e+02,6.669222e+01
4.548771e+02,6.668958e+01
4.549976e+02,6.671261e+01
4.551182e+02,6.675085e+01
4.552387e+02,6.679099e+01
4.553592e+02,6.682054e+01
4.554797e+02,6.683013e+01
4.556003e+02,6.681774e+01
4.557208e+02,6.678940e+01
4.558413e+02,6.675681e+01
4.559619e+02,6.673209e+01
4.560824e+02,6.672227e+01
4.562029e+02,6.672572e+01
4.563235e+02,6.673185e+01
4.564440e+02,6.672556e+01
4.565645e+02,6.669213e+01
4.566850e+02,6.662453e+01
4.568056e+02,6.652547e+01
4.569261e+02,6.640677e+01
4.570466e+02,6.628403e+01
4.571671e+02,6.617443e+01
4.572877e+02,6.609339e+01
4.574082e+02,6.605344e+01
4.575287e+02,6.606537e+01
4.576493e+02,6.613625e+01
4.577698e+02,6.626584e+01
4.578903e+02,6.644350e+01
4.580109e+02,6.664863e+01
4.581314e+02,6.685693e+01
4.582519e+02,6.704667e+01
4.583724e+02,6.720471e+01
4.584930e+02,6.732758e+01
4.586135e+02,6.741970e+01
4.587340e+02,6.749047e+01
4.588546e+02,6.755065e+01
4.589751e+02,6.760904e+01
4.590956e+02,6.766920e+01
4.592162e+02,6.772930e+01
4.593367e+02,6.778353e+01
4.594572e+02,6.782587e+01
4.595777e+02,6.785108e+01
4.596983e+02,6.785529e+01
4.598188e+02,6.783457e+01
4.599393e+02,6.778255e+01
4.600598e+02,6.769060e+01
4.601804e+02,6.755148e+01
4.603009e+02,6.736397e+01
4.604214e+02,6.713858e+01
4.605420e+02,6.689810e+01
4.606625e+02,6.667719e+01
4.607830e+02,6.651257e+01
4.609036e+02,6.643173e+01
4.610241e+02,6.644668e+01
4.611446e+02,6.654808e+01
4.612651e+02,6.670972e+01
4.613857e+02,6.689532e+01
4.615062e+02,6.707207e+01
4.616267e+02,6.721816e+01
4.617473e+02,6.732525e+01
4.618678e+02,6.739601e+01
4.619883e+02,6.743696e+01
4.621089e+02,6.745350e+01
4.622294e+02,6.744666e+01
4.623499e+02,6.741656e+01
4.624704e+02,6.736637e+01
4.625910e+02,6.730527e+01
4.627115e+02,6.724989e+01
4.628320e+02,6.721957e+01
4.629525e+02,6.722819e+01
4.630731e+02,6.727983e+01
4.631936e+02,6.736520e+01
4.633141e+02,6.746534e+01
4.634347e+02,6.755592e+01
4.635552e+02,6.761734e+01
4.636757e+02,6.764088e+01
4.637963e+02,6.763178e+01
4.639168e+02,6.760767e+01
4.640373e+02,6.759236e+01
4.641578e+02,6.760952e+01
4.642784e+02,6.767419e+01
4.643989e+02,6.778853e+01
4.645194e+02,6.794032e+01
4.646400e+02,6.810609e+01
4.647605e+02,6.825520e+01
4.648810e+02,6.835668e+01
4.650015e+02,6.838953e+01
4.651221e+02,6.834482e+01
4.652426e+02,6.822932e+01
4.653631e+02,6.806156e+01
4.654836e+02,6.786855e+01
4.656042e+02,6.767837e+01
4.657247e+02,6.751279e+01
4.658452e+02,6.738551e+01
4.659658e+02,6.730081e+01
4.660863e+02,6.725626e+01
4.662068e+02,6.724596e+01
4.663274e+02,6.726383e+01
4.664479e+02,6.730414e+01
4.665684e+02,6.736001e+01
4.666890e+02,6.742318e+01
4.668095e+02,6.748333e+01
4.669300e+02,6.752908e+01
4.670505e+02,6.755171e+01
4.671711e+02,6.754707e+01
4.672916e+02,6.751651e+01
4.674121e+02,6.746593e+01
4.675327e+02,6.740416e+01
4.676532e+02,6.734004e+01
4.677737e+02,6.728046e+01
4.678942e+02,6.723154e+01
4.680148e+02,6.719937e+01
4.681353e+02,6.719044e+01
4.682558e+02,6.721131e+01
4.683763e+02,6.726493e+01
4.684969e+02,6.734710e+01
4.686174e+02,6.744321e+01
4.687379e+02,6.753043e+01
4.688585e+02,6.758462e+01
4.689790e+02,6.758674e+01
4.690995e+02,6.753265e+01
4.692201e+02,6.743439e+01
4.693406e+02,6.731865e+01
4.694611e+02,6.721576e+01
4.695817e+02,6.715076e+01
4.697022e+02,6.713558e+01
4.698227e+02,6.716602e+01
4.699432e+02,6.722617e+01
4.700638e+02,6.729618e+01
4.701843e+02,6.736182e+01
4.703048e+02,6.741824e+01
4.704254e+02,6.746983e+01
4.705459e+02,6.752493e+01
4.706664e+02,6.758950e+01
4.707869e+02,6.766164e+01
4.709075e+02,6.773167e+01
4.710280e+02,6.778493e+01
4.711485e+02,6.780846e+01
4.712690e+02,6.779672e+01
4.713896e+02,6.775343e+01
4.715101e+02,6.768991e+01
4.716306e+02,6.762045e+01
4.717512e+02,6.755773e+01
4.718717e+02,6.750784e+01
4.719922e+02,6.746961e+01
4.721128e+02,6.743642e+01
4.722333e+02,6.740070e+01
4.723538e+02,6.735889e+01
4.724744e+02,6.731519e+01
4.725949e+02,6.728138e+01
4.727154e+02,6.727421e+01
4.728359e+02,6.730984e+01
4.729565e+02,6.739646e+01
4.730770e+02,6.753164e+01
4.731975e+02,6.770010e+01
4.733181e+02,6.787814e+01
4.734386e+02,6.803572e+01
4.735591e+02,6.814611e+01
4.736796e+02,6.819315e+01
4.738002e+02,6.817582e+01
4.739207e+02,6.811028e+01
4.740412e+02,6.802413e+01
4.741617e+02,6.795082e+01
4.742823e+02,6.791711e+01
4.744028e+02,6.793491e+01
4.745233e+02,6.799923e+01
4.746439e+02,6.809089e+01
4.747644e+02,6.818452e+01
4.748849e+02,6.825664e+01
4.750055e+02,6.829529e+01
4.751260e+02,6.830092e+01
4.752465e+02,6.828478e+01
4.753671e+02,6.826170e+01
4.754876e+02,6.824467e+01
4.756081e+02,6.823943e+01
4.757286e+02,6.824377e+01
4.758492e+02,6.824863e+01
4.759697e+02,6.824179e+01
4.760902e+02,6.821242e+01
4.762108e+02,6.815260e+01
4.763313e+02,6.805989e+01
4.764518e+02,6.793844e+01
4.765723e+02,6.779858e+01
4.766929e+02,6.765614e+01
4.768134e+02,6.752912e+01
4.769339e+02,6.743629e+01
4.770544e+02,6.739077e+01
4.771750e+02,6.739783e+01
4.772955e+02,6.745230e+01
4.774160e+02,6.754124e+01
4.775366e+02,6.764727e+01
4.776571e+02,6.775379e+01
4.777776e+02,6.785048e+01
4.778982e+02,6.793394e+01
4.780187e+02,6.800539e+01
4.781392e+02,6.806612e+01
4.782598e+02,6.811288e+01
4.783803e+02,6.813593e+01
4.785008e+02,6.812193e+01
4.786213e+02,6.805820e+01
4.787419e+02,6.793956e+01
