WaveNumber, LightFastSlow
4.183568e+02,7.137451e+01
4.184773e+02,7.184285e+01
4.185978e+02,7.216282e+01
4.187184e+02,7.227528e+01
4.188389e+02,7.216302e+01
4.189594e+02,7.186211e+01
4.190799e+02,7.144845e+01
4.192005e+02,7.101971e+01
4.193210e+02,7.066356e+01
4.194415e+02,7.043617e+01
4.195620e+02,7.034826e+01
4.196826e+02,7.035077e+01
4.198031e+02,7.035251e+01
4.199236e+02,7.025021e+01
4.200442e+02,6.998704e+01
4.201647e+02,6.956875e+01
4.202852e+02,6.905693e+01
4.204058e+02,6.852982e+01
4.205263e+02,6.805730e+01
4.206468e+02,6.768179e+01
4.207673e+02,6.741138e+01
4.208879e+02,6.722986e+01
4.210084e+02,6.710966e+01
4.211289e+02,6.702382e+01
4.212495e+02,6.695659e+01
4.213700e+02,6.690438e+01
4.214905e+02,6.687009e+01
4.216111e+02,6.685408e+01
4.217316e+02,6.684897e+01
4.218521e+02,6.683916e+01
4.219726e+02,6.680605e+01
4.220932e+02,6.673370e+01
4.222137e+02,6.661307e+01
4.223342e+02,6.644034e+01
4.224547e+02,6.621445e+01
4.225753e+02,6.593408e+01
4.226958e+02,6.559741e+01
4.228163e+02,6.520678e+01
4.229369e+02,6.477576e+01
4.230574e+02,6.433539e+01
4.231779e+02,6.392990e+01
4.232985e+02,6.360989e+01
4.234190e+02,6.342075e+01
4.235395e+02,6.338916e+01
4.236600e+02,6.352446e+01
4.237806e+02,6.381568e+01
4.239011e+02,6.423632e+01
4.240216e+02,6.474186e+01
4.241422e+02,6.527443e+01
4.242627e+02,6.577074e+01
4.243832e+02,6.616428e+01
4.245038e+02,6.640561e+01
4.246243e+02,6.647533e+01
4.247448e+02,6.639212e+01
4.248653e+02,6.621217e+01
4.249859e+02,6.601405e+01
4.251064e+02,6.588387e+01
4.252269e+02,6.587978e+01
4.253474e+02,6.601685e+01
4.254680e+02,6.625789e+01
4.255885e+02,6.653237e+01
4.257090e+02,6.675609e+01
4.258296e+02,6.686082e+01
4.259501e+02,6.681704e+01
4.260706e+02,6.663433e+01
4.261912e+02,6.635778e+01
4.263117e+02,6.604731e+01
4.264322e+02,6.576595e+01
4.265527e+02,6.556062e+01
4.266733e+02,6.545256e+01
4.267938e+02,6.544175e+01
4.269143e+02,6.551070e+01
4.270349e+02,6.563586e+01
4.271554e+02,6.579212e+01
4.272759e+02,6.596073e+01
4.273965e+02,6.613224e+01
4.275170e+02,6.630467e+01
4.276375e+02,6.648354e+01
4.277580e+02,6.667496e+01
4.278786e+02,6.687932e+01
4.279991e+02,6.708607e+01
4.281196e+02,6.727152e+01
4.282401e+02,6.740203e+01
4.283607e+02,6.744801e+01
4.284812e+02,6.739375e+01
4.286017e+02,6.724928e+01
4.287223e+02,6.704877e+01
4.288428e+02,6.684587e+01
4.289633e+02,6.669566e+01
4.290839e+02,6.663404e+01
4.292044e+02,6.667162e+01
4.293249e+02,6.679031e+01
4.294454e+02,6.695787e+01
4.295660e+02,6.714024e+01
4.296865e+02,6.731651e+01
4.298070e+02,6.748247e+01
4.299276e+02,6.764378e+01
4.300481e+02,6.780485e+01
4.301686e+02,6.795881e+01
4.302892e+02,6.808440e+01
4.304097e+02,6.815394e+01
4.305302e+02,6.814480e+01
4.306507e+02,6.805056e+01
4.307713e+02,6.788570e+01
4.308918e+02,6.768214e+01
4.310123e+02,6.747782e+01
4.311328e+02,6.730090e+01
4.312534e+02,6.716730e+01
4.313739e+02,6.707949e+01
4.314944e+02,6.703576e+01
4.316150e+02,6.703780e+01
4.317355e+02,6.709333e+01
4.318560e+02,6.720901e+01
4.319766e+02,6.737925e+01
4.320971e+02,6.757660e+01
4.322176e+02,6.775409e+01
4.323381e+02,6.785060e+01
4.324587e+02,6.781518e+01
4.325792e+02,6.762474e+01
4.326997e+02,6.729580e+01
4.328203e+02,6.688223e+01
4.329408e+02,6.645981e+01
4.330613e+02,6.610783e+01
4.331819e+02,6.588117e+01
4.333024e+02,6.580286e+01
4.334229e+02,6.586495e+01
4.335434e+02,6.603934e+01
4.336640e+02,6.628790e+01
4.337845e+02,6.657020e+01
4.339050e+02,6.684988e+01
4.340255e+02,6.709101e+01
4.341461e+02,6.726265e+01
4.342666e+02,6.734375e+01
4.343871e+02,6.732686e+01
4.345077e+02,6.722331e+01
4.346282e+02,6.705962e+01
4.347487e+02,6.687341e+01
4.348693e+02,6.670067e+01
4.349898e+02,6.656443e+01
4.351103e+02,6.647218e+01
4.352308e+02,6.641634e+01
4.353514e+02,6.638466e+01
4.354719e+02,6.636813e+01
4.355924e+02,6.636742e+01
4.357130e+02,6.638951e+01
4.358335e+02,6.643985e+01
4.359540e+02,6.651324e+01
4.360746e+02,6.658875e+01
4.361951e+02,6.663291e+01
4.363156e+02,6.661607e+01
4.364361e+02,6.652578e+01
4.365567e+02,6.637771e+01
4.366772e+02,6.620882e+01
4.367977e+02,6.606464e+01
4.369182e+02,6.597904e+01
4.370388e+02,6.596359e+01
4.371593e+02,6.600851e+01
4.372798e+02,6.609114e+01
4.374004e+02,6.618985e+01
4.375209e+02,6.629111e+01
4.376414e+02,6.639518e+01
4.377620e+02,6.651093e+01
4.378825e+02,6.664664e+01
4.380030e+02,6.680164e+01
4.381235e+02,6.696339e+01
4.382441e+02,6.711053e+01
4.383646e+02,6.722367e+01
4.384851e+02,6.729269e+01
4.386057e+02,6.732004e+01
4.387262e+02,6.731677e+01
4.388467e+02,6.729651e+01
4.389673e+02,6.726638e+01
4.390878e+02,6.722514e+01
4.392083e+02,6.716573e+01
4.393288e+02,6.708379e+01
4.394494e+02,6.698383e+01
4.395699e+02,6.688345e+01
4.396904e+02,6.680816e+01
4.398109e+02,6.678116e+01
4.399315e+02,6.681536e+01
