WaveNumber, DarkSlowFast
4.160667e+02,6.035782e+01
4.161872e+02,6.035915e+01
4.163078e+02,6.025036e+01
4.164283e+02,6.009199e+01
4.165488e+02,5.996431e+01
4.166693e+02,5.993915e+01
4.167899e+02,6.005744e+01
4.169104e+02,6.031091e+01
4.170309e+02,6.064796e+01
4.171515e+02,6.099088e+01
4.172720e+02,6.127084e+01
4.173925e+02,6.144969e+01
4.175131e+02,6.152965e+01
4.176336e+02,6.154944e+01
4.177541e+02,6.156598e+01
4.178746e+02,6.163078e+01
4.179952e+02,6.176708e+01
4.181157e+02,6.196797e+01
4.182362e+02,6.220126e+01
4.183568e+02,6.242442e+01
4.184773e+02,6.259157e+01
4.185978e+02,6.266430e+01
4.187184e+02,6.261543e+01
4.188389e+02,6.242966e+01
4.189594e+02,6.210568e+01
4.190799e+02,6.165702e+01
4.192005e+02,6.111614e+01
4.193210e+02,6.053928e+01
4.194415e+02,6.000205e+01
4.195620e+02,5.959656e+01
4.196826e+02,5.939273e+01
4.198031e+02,5.940674e+01
4.199236e+02,5.958040e+01
4.200442e+02,5.981015e+01
4.201647e+02,5.999306e+01
4.202852e+02,6.006954e+01
4.204058e+02,6.003936e+01
4.205263e+02,5.994236e+01
4.206468e+02,5.983718e+01
4.207673e+02,5.977442e+01
4.208879e+02,5.978822e+01
4.210084e+02,5.988998e+01
4.211289e+02,6.007381e+01
4.212495e+02,6.032315e+01
4.213700e+02,6.061766e+01
4.214905e+02,6.093938e+01
4.216111e+02,6.126922e+01
4.217316e+02,6.158814e+01
4.218521e+02,6.187942e+01
4.219726e+02,6.212741e+01
4.220932e+02,6.232140e+01
4.222137e+02,6.245757e+01
4.223342e+02,6.253666e+01
4.224547e+02,6.256003e+01
4.225753e+02,6.252998e+01
4.226958e+02,6.244820e+01
4.228163e+02,6.231762e+01
4.229369e+02,6.214856e+01
4.230574e+02,6.195972e+01
4.231779e+02,6.177150e+01
4.232985e+02,6.160244e+01
4.234190e+02,6.145974e+01
4.235395e+02,6.133977e+01
4.236600e+02,6.123360e+01
4.237806e+02,6.113717e+01
4.239011e+02,6.105759e+01
4.240216e+02,6.101839e+01
4.241422e+02,6.105222e+01
4.242627e+02,6.118639e+01
4.243832e+02,6.142963e+01
4.245038e+02,6.176082e+01
4.246243e+02,6.213111e+01
4.247448e+02,6.247536e+01
4.248653e+02,6.273529e+01
4.249859e+02,6.287666e+01
4.251064e+02,6.289770e+01
4.252269e+02,6.282713e+01
4.253474e+02,6.270728e+01
4.254680e+02,6.257787e+01
4.255885e+02,6.245722e+01
4.257090e+02,6.234360e+01
4.258296e+02,6.222485e+01
4.259501e+02,6.209328e+01
4.260706e+02,6.195113e+01
4.261912e+02,6.181250e+01
4.263117e+02,6.169348e+01
4.264322e+02,6.160304e+01
4.265527e+02,6.153749e+01
4.266733e+02,6.148550e+01
4.267938e+02,6.143676e+01
4.269143e+02,6.139513e+01
4.270349e+02,6.138140e+01
4.271554e+02,6.142894e+01
4.272759e+02,6.156622e+01
4.273965e+02,6.180115e+01
4.275170e+02,6.211033e+01
4.276375e+02,6.244376e+01
4.277580e+02,6.273980e+01
4.278786e+02,6.294153e+01
4.279991e+02,6.302018e+01
4.281196e+02,6.297802e+01
4.282401e+02,6.284457e+01
4.283607e+02,6.265764e+01
4.284812e+02,6.244965e+01
4.286017e+02,6.223555e+01
4.287223e+02,6.201361e+01
4.288428e+02,6.177666e+01
4.289633e+02,6.152364e+01
4.290839e+02,6.126733e+01
4.292044e+02,6.103441e+01
4.293249e+02,6.085627e+01
4.294454e+02,6.075588e+01
4.295660e+02,6.074308e+01
4.296865e+02,6.081030e+01
4.298070e+02,6.093758e+01
4.299276e+02,6.109740e+01
4.300481e+02,6.126353e+01
4.301686e+02,6.141354e+01
4.302892e+02,6.152893e+01
4.304097e+02,6.159688e+01
4.305302e+02,6.160944e+01
4.306507e+02,6.156613e+01
4.307713e+02,6.147790e+01
4.308918e+02,6.136987e+01
4.310123e+02,6.128045e+01
4.311328e+02,6.124968e+01
4.312534e+02,6.131106e+01
4.313739e+02,6.147767e+01
4.314944e+02,6.173782e+01
4.316150e+02,6.205627e+01
4.317355e+02,6.238296e+01
4.318560e+02,6.266860e+01
4.319766e+02,6.287043e+01
4.320971e+02,6.296595e+01
4.322176e+02,6.295778e+01
4.323381e+02,6.287148e+01
4.324587e+02,6.274852e+01
4.325792e+02,6.263454e+01
4.326997e+02,6.257125e+01
4.328203e+02,6.258158e+01
4.329408e+02,6.266589e+01
4.330613e+02,6.279942e+01
4.331819e+02,6.293952e+01
4.333024e+02,6.303688e+01
4.334229e+02,6.304764e+01
4.335434e+02,6.294963e+01
4.336640e+02,6.274731e+01
4.337845e+02,6.247408e+01
4.339050e+02,6.217936e+01
4.340255e+02,6.192091e+01
4.341461e+02,6.174628e+01
4.342666e+02,6.167930e+01
4.343871e+02,6.172112e+01
4.345077e+02,6.185247e+01
4.346282e+02,6.204353e+01
4.347487e+02,6.226085e+01
4.348693e+02,6.247456e+01
4.349898e+02,6.266200e+01
4.351103e+02,6.280563e+01
4.352308e+02,6.289514e+01
4.353514e+02,6.292519e+01
4.354719e+02,6.289664e+01
4.355924e+02,6.281750e+01
4.357130e+02,6.270355e+01
4.358335e+02,6.258022e+01
4.359540e+02,6.247668e+01
4.360746e+02,6.242144e+01
4.361951e+02,6.243441e+01
4.363156e+02,6.251760e+01
4.364361e+02,6.265248e+01
4.365567e+02,6.280284e+01
4.366772e+02,6.292847e+01
4.367977e+02,6.299164e+01
4.369182e+02,6.297092e+01
4.370388e+02,6.286419e+01
4.371593e+02,6.268616e+01
4.372798e+02,6.246237e+01
4.374004e+02,6.221865e+01
4.375209e+02,6.197546e+01
4.376414e+02,6.174131e+01
4.377620e+02,6.151324e+01
4.378825e+02,6.128253e+01
4.380030e+02,6.104425e+01
4.381235e+02,6.080676e+01
4.382441e+02,6.059616e+01
4.383646e+02,6.044980e+01
4.384851e+02,6.040758e+01
4.386057e+02,6.049657e+01
4.387262e+02,6.071649e+01
4.388467e+02,6.103482e+01
4.389673e+02,6.139009e+01
4.390878e+02,6.171396e+01
4.392083e+02,6.194559e+01
4.393288e+02,6.205194e+01
4.394494e+02,6.203397e+01
4.395699e+02,6.192044e+01
4.396904e+02,6.175434e+01
4.398109e+02,6.157584e+01
4.399315e+02,6.141600e+01
4.400520e+02,6.129174e+01
4.401725e+02,6.120883e+01
4.402931e+02,6.116982e+01
4.404136e+02,6.117641e+01
4.405341e+02,6.122982e+01
4.406547e+02,6.132609e+01
4.407752e+02,6.145322e+01
4.408957e+02,6.158974e+01
4.410162e+02,6.170825e+01
4.411368e+02,6.178550e+01
4.412573e+02,6.180763e+01
4.413778e+02,6.177459e+01
4.414984e+02,6.169809e+01
4.416189e+02,6.159607e+01
4.417394e+02,6.148504e+01
4.418600e+02,6.137414e+01
4.419805e+02,6.126529e+01
4.421010e+02,6.115697e+01
4.422215e+02,6.105012e+01
4.423421e+02,6.095204e+01
4.424626e+02,6.087503e+01
4.425831e+02,6.083221e+01
4.427036e+02,6.083419e+01
4.428242e+02,6.088508e+01
4.429447e+02,6.098454e+01
4.430652e+02,6.112986e+01
4.431858e+02,6.131787e+01
4.433063e+02,6.154436e+01
4.434268e+02,6.179866e+01
4.435474e+02,6.206041e+01
4.436679e+02,6.229788e+01
4.437884e+02,6.247246e+01
4.439089e+02,6.255318e+01
4.440295e+02,6.252707e+01
4.441500e+02,6.240617e+01
4.442705e+02,6.222260e+01
4.443911e+02,6.202124e+01
4.445116e+02,6.184515e+01
4.446321e+02,6.172116e+01
4.447527e+02,6.165826e+01
4.448732e+02,6.164600e+01
4.449937e+02,6.166403e+01
4.451142e+02,6.169090e+01
4.452348e+02,6.171301e+01
4.453553e+02,6.172647e+01
4.454758e+02,6.173447e+01
4.455963e+02,6.174121e+01
4.457169e+02,6.174787e+01
4.458374e+02,6.175256e+01
4.459579e+02,6.175342e+01
4.460785e+02,6.175164e+01
4.461990e+02,6.175392e+01
4.463195e+02,6.176856e+01
4.464401e+02,6.180050e+01
4.465606e+02,6.184623e+01
4.466811e+02,6.189369e+01
4.468016e+02,6.192639e+01
4.469222e+02,6.193307e+01
4.470427e+02,6.191549e+01
4.471632e+02,6.188942e+01
4.472838e+02,6.187870e+01
