WaveNumber, LightSlowFast
4.560824e+02,6.082453e+01
4.562029e+02,6.091260e+01
4.563235e+02,6.103996e+01
4.564440e+02,6.119759e+01
4.565645e+02,6.136484e+01
4.566850e+02,6.151968e+01
4.568056e+02,6.164550e+01
4.569261e+02,6.173608e+01
4.570466e+02,6.179408e+01
4.571671e+02,6.182403e+01
4.572877e+02,6.182418e+01
4.574082e+02,6.178321e+01
4.575287e+02,6.168211e+01
4.576493e+02,6.150661e+01
4.577698e+02,6.126295e+01
4.578903e+02,6.098530e+01
4.580109e+02,6.072632e+01
4.581314e+02,6.053268e+01
4.582519e+02,6.043164e+01
4.583724e+02,6.042339e+01
4.584930e+02,6.048877e+01
4.586135e+02,6.059816e+01
4.587340e+02,6.072112e+01
4.588546e+02,6.083253e+01
4.589751e+02,6.091325e+01
4.590956e+02,6.095382e+01
4.592162e+02,6.095233e+01
4.593367e+02,6.091288e+01
4.594572e+02,6.084430e+01
4.595777e+02,6.075987e+01
4.596983e+02,6.067733e+01
4.598188e+02,6.061447e+01
4.599393e+02,6.058689e+01
4.600598e+02,6.060120e+01
4.601804e+02,6.065152e+01
4.603009e+02,6.071953e+01
4.604214e+02,6.078038e+01
4.605420e+02,6.081248e+01
4.606625e+02,6.080452e+01
4.607830e+02,6.076229e+01
4.609036e+02,6.070680e+01
4.610241e+02,6.066986e+01
4.611446e+02,6.068159e+01
4.612651e+02,6.075990e+01
4.613857e+02,6.090520e+01
4.615062e+02,6.109913e+01
4.616267e+02,6.131128e+01
4.617473e+02,6.150744e+01
4.618678e+02,6.166169e+01
4.619883e+02,6.175925e+01
4.621089e+02,6.179677e+01
4.622294e+02,6.177844e+01
4.623499e+02,6.171230e+01
4.624704e+02,6.160794e+01
4.625910e+02,6.147621e+01
4.627115e+02,6.133111e+01
4.628320e+02,6.118981e+01
4.629525e+02,6.106907e+01
4.630731e+02,6.098318e+01
4.631936e+02,6.093845e+01
4.633141e+02,6.093132e+01
4.634347e+02,6.094802e+01
4.635552e+02,6.096876e+01
4.636757e+02,6.097467e+01
4.637963e+02,6.095261e+01
4.639168e+02,6.090191e+01
4.640373e+02,6.083472e+01
4.641578e+02,6.077343e+01
4.642784e+02,6.074196e+01
4.643989e+02,6.075851e+01
