WaveNumber, LightSlowSlow
4.304097e+02,7.302103e+01
4.305302e+02,7.299295e+01
4.306507e+02,7.289413e+01
4.307713e+02,7.275531e+01
4.308918e+02,7.262686e+01
4.310123e+02,7.256419e+01
4.311328e+02,7.260455e+01
4.312534e+02,7.275659e+01
4.313739e+02,7.299452e+01
4.314944e+02,7.327025e+01
4.316150e+02,7.352544e+01
4.317355e+02,7.371134e+01
4.318560e+02,7.380226e+01
4.319766e+02,7.379523e+01
4.320971e+02,7.370777e+01
4.322176e+02,7.356661e+01
4.323381e+02,7.340078e+01
4.324587e+02,7.323387e+01
4.325792e+02,7.308247e+01
4.326997e+02,7.295982e+01
4.328203e+02,7.287487e+01
4.329408e+02,7.283350e+01
4.330613e+02,7.283795e+01
4.331819e+02,7.288515e+01
4.333024e+02,7.296746e+01
4.334229e+02,7.307423e+01
4.335434e+02,7.319515e+01
4.336640e+02,7.332018e+01
4.337845e+02,7.344069e+01
4.339050e+02,7.354831e+01
4.340255e+02,7.363508e+01
4.341461e+02,7.369507e+01
4.342666e+02,7.372678e+01
4.343871e+02,7.373451e+01
4.345077e+02,7.372807e+01
4.346282e+02,7.371700e+01
4.347487e+02,7.370628e+01
4.348693e+02,7.369255e+01
4.349898e+02,7.366348e+01
4.351103e+02,7.360436e+01
4.352308e+02,7.350873e+01
4.353514e+02,7.338569e+01
4.354719e+02,7.326336e+01
4.355924e+02,7.317994e+01
4.357130e+02,7.317062e+01
4.358335e+02,7.325218e+01
4.359540e+02,7.340966e+01
4.360746e+02,7.359209e+01
4.361951e+02,7.372272e+01
4.363156e+02,7.373184e+01
4.364361e+02,7.357961e+01
4.365567e+02,7.327888e+01
4.366772e+02,7.288798e+01
4.367977e+02,7.249073e+01
4.369182e+02,7.216335e+01
4.370388e+02,7.194939e+01
4.371593e+02,7.185700e+01
4.372798e+02,7.186203e+01
4.374004e+02,7.192501e+01
4.375209e+02,7.200322e+01
4.376414e+02,7.206651e+01
4.377620e+02,7.210273e+01
4.378825e+02,7.211408e+01
4.380030e+02,7.211127e+01
4.381235e+02,7.210559e+01
4.382441e+02,7.210375e+01
4.383646e+02,7.210693e+01
4.384851e+02,7.211303e+01
4.386057e+02,7.211975e+01
4.387262e+02,7.212587e+01
4.388467e+02,7.213297e+01
4.389673e+02,7.214346e+01
4.390878e+02,7.216019e+01
4.392083e+02,7.218725e+01
4.393288e+02,7.222881e+01
4.394494e+02,7.228771e+01
4.395699e+02,7.236521e+01
4.396904e+02,7.245744e+01
4.398109e+02,7.255574e+01
4.399315e+02,7.264687e+01
4.400520e+02,7.271703e+01
4.401725e+02,7.275583e+01
4.402931e+02,7.275800e+01
4.404136e+02,7.272446e+01
4.405341e+02,7.265961e+01
4.406547e+02,7.256980e+01
4.407752e+02,7.246092e+01
4.408957e+02,7.234030e+01
4.410162e+02,7.221976e+01
4.411368e+02,7.211666e+01
4.412573e+02,7.205437e+01
4.413778e+02,7.205736e+01
4.414984e+02,7.214091e+01
4.416189e+02,7.230346e+01
4.417394e+02,7.252057e+01
4.418600e+02,7.275182e+01
4.419805e+02,7.294908e+01
4.421010e+02,7.307624e+01
4.422215e+02,7.312196e+01
4.423421e+02,7.309999e+01
4.424626e+02,7.304006e+01
4.425831e+02,7.297021e+01
4.427036e+02,7.290616e+01
4.428242e+02,7.284370e+01
