WaveNumber, LightFastFast
4.131740e+02,6.636259e+01
4.132945e+02,6.681130e+01
4.134151e+02,6.721050e+01
4.135356e+02,6.750021e+01
4.136561e+02,6.763460e+01
4.137766e+02,6.759081e+01
4.138972e+02,6.736966e+01
4.140177e+02,6.699369e+01
4.141382e+02,6.650681e+01
4.142588e+02,6.597123e+01
4.143793e+02,6.547562e+01
4.144998e+02,6.511717e+01
4.146204e+02,6.498693e+01
4.147409e+02,6.514706e+01
4.148614e+02,6.560162e+01
4.149819e+02,6.629265e+01
4.151025e+02,6.711060e+01
4.152230e+02,6.793835e+01
4.153435e+02,6.867727e+01
4.154641e+02,6.927708e+01
4.155846e+02,6.974274e+01
4.157051e+02,7.011288e+01
4.158257e+02,7.042999e+01
4.159462e+02,7.071257e+01
4.160667e+02,7.094208e+01
4.161872e+02,7.107317e+01
4.163078e+02,7.106125e+01
4.164283e+02,7.088251e+01
4.165488e+02,7.055107e+01
4.166693e+02,7.011558e+01
4.167899e+02,6.964666e+01
4.169104e+02,6.921085e+01
4.170309e+02,6.885639e+01
4.171515e+02,6.861217e+01
4.172720e+02,6.848705e+01
4.173925e+02,6.847729e+01
4.175131e+02,6.856549e+01
4.176336e+02,6.871868e+01
4.177541e+02,6.888685e+01
4.178746e+02,6.900853e+01
4.179952e+02,6.903015e+01
4.181157e+02,6.892034e+01
4.182362e+02,6.868617e+01
4.183568e+02,6.837242e+01
4.184773e+02,6.805098e+01
4.185978e+02,6.778690e+01
4.187184e+02,6.759960e+01
4.188389e+02,6.745592e+01
4.189594e+02,6.728826e+01
4.190799e+02,6.703662e+01
4.192005e+02,6.667508e+01
4.193210e+02,6.622556e+01
4.194415e+02,6.574241e+01
4.195620e+02,6.529633e+01
4.196826e+02,6.493555e+01
4.198031e+02,6.466827e+01
4.199236e+02,6.446069e+01
4.200442e+02,6.427278e+01
4.201647e+02,6.408927e+01
4.202852e+02,6.393753e+01
4.204058e+02,6.386903e+01
4.205263e+02,6.392985e+01
4.206468e+02,6.413342e+01
4.207673e+02,6.444589e+01
4.208879e+02,6.478973e+01
4.210084e+02,6.506983e+01
4.211289e+02,6.521166e+01
4.212495e+02,6.518300e+01
4.213700e+02,6.500817e+01
4.214905e+02,6.475042e+01
4.216111e+02,6.448330e+01
4.217316e+02,6.425709e+01
4.218521e+02,6.408324e+01
4.219726e+02,6.394157e+01
4.220932e+02,6.379867e+01
4.222137e+02,6.363001e+01
4.223342e+02,6.342999e+01
4.224547e+02,6.321341e+01
4.225753e+02,6.300507e+01
4.226958e+02,6.282667e+01
4.228163e+02,6.268601e+01
4.229369e+02,6.257939e+01
4.230574e+02,6.250004e+01
4.231779e+02,6.244944e+01
4.232985e+02,6.243997e+01
4.234190e+02,6.248701e+01
4.235395e+02,6.259596e+01
4.236600e+02,6.275667e+01
4.237806e+02,6.294331e+01
